moneda,pais,destino,actividad,precio,opiniones,viajeros,url_fuente,fuente,fecha_scan
USD,Chile,Santiago de Chile,Excursión a Valparaíso y Viña del Mar,"41,11 US$",1.737 opiniones,16.037 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Excursión al Cajón del Maipo en grupo reducido,"42,87 US$",202 opiniones,2.306 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Visita guiada por Santiago,"16,92 US$",144 opiniones,1.200 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Excursión a las termas de Colina y el embalse El Yeso,"68,94 US$",7 opiniones,70 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Excursión a la Viña Concha y Toro,"97,02 US$",447 opiniones,4.918 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Free tour por Santiago,¡Gratis!,1.858 opiniones,30.921 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Excursión a la Viña Undurraga,"61,30 US$",62 opiniones,658 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Tour panorámico por Santiago,"46,63 US$",234 opiniones,2.572 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Excursión al viñedo Alyan al atardecer,"111,20 US$",8 opiniones,95 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Santiago de Chile,Paseo en helicóptero por Santiago de Chile,375 US$,Sin valorar,84 viajeros,https://www.civitatis.com/es/santiago-de-chile/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour de Valparaíso al completo,"12.661,63 US$",32 opiniones,200 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Visita guiada por Valparaíso,"6.330,81 US$",21 opiniones,146 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Free tour de los miradores y paseos de Valparaíso,¡Gratis!,342 opiniones,7.265 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Free tour por Barrio Puerto y el Cerro Concepción,¡Gratis!,171 opiniones,3.172 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Free tour por el Cerro Playa Ancha,¡Gratis!,18 opiniones,217 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Visita a una bodega del Valle de Casablanca,150 US$,Novedad,1 viajero,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Visita guiada por Valparaíso + Paseo en barco,60 US$,Sin valorar,2 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,"La Sebastiana, Biblioteca Santiago Severín, Catedral y Museo de Historia Natural","3.165,40 US$",Novedad,3 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour de Pablo Neruda,50 US$,3 opiniones,28 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour de los ascensores de Valparaíso,"6.330,81 US$",26 opiniones,181 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tarjeta eSIM Civitatis Chile,5 US$,39 opiniones,811 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour gastronómico por Valparaíso,"9.496,22 US$",3 opiniones,22 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour por Valparaíso y Viña del Mar,"29.543,81 US$",18 opiniones,174 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,"Excursión a Isla Negra, Algarrobo y Quintay","33.764,36 US$",4 opiniones,72 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour del arte urbano por Valparaíso,"5.486,70 US$",7 opiniones,69 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Avistamiento de pingüinos en la isla Cachagua,"28.488,68 US$",2 opiniones,70 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Contrastes de Valparaíso,"13.505,74 US$",2 opiniones,13 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Senderismo por el Parque Nacional La Campana,"12.925,42 US$",3 opiniones,11 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Clase de cocina chilena con comida,"13.505,74 US$",9 opiniones,49 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour por Valparaíso para cruceros,"12.661,63 US$",1 opinión,9 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour por el Valparaíso alternativo,"6.330,81 US$",2 opiniones,6 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour por el Parque Nacional La Campana con 2 noches de alojamiento,"33.342,30 US$",Sin valorar,,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Visita guiada por Valparaíso + Paseo en trolebús,"6.330,81 US$",Sin valorar,,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour de la música por Valparaíso,"10.551,36 US$",Sin valorar,,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour por la costa norte de Valparaíso,"31.654,09 US$",Sin valorar,6 viajeros,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
USD,Chile,Valparaíso,Tour de la cerveza por Valparaíso,"8.441,09 US$",Sin valorar,,https://www.civitatis.com/es/valparaiso/,Civitatis,2026-01-20 13:29
